district_name,group_name
EFIK ALCON,EFIK-RAINBOW GROUP
EFIK AMADI,EFIK-RAINBOW GROUP
EFIK AZUABIE,EFIK-RAINBOW GROUP
EFIK ELELENWO,EFIK-RAINBOW GROUP
EFIK OKURUAMA,EFIK-RAINBOW GROUP
EFIK RUMUKALAGBO,EFIK-RAINBOW GROUP
EFIK RUMUOMASI,EFIK-RAINBOW GROUP
EFIK TERE-AMA,EFIK-RAINBOW GROUP
ABULOMA,ABULOMA
FEDERAL,ABULOMA
OKUJAGU,ABULOMA
OKURU,ABULOMA
OWUDO,ABULOMA
ROYAL,ABULOMA
EJUAN,EJUAN
ODILI ROAD,EJUAN
TRANS AMADI GARDEN,EJUAN
AMADI SANDFILLED,RAINBOW
LNG ROAD,RAINBOW
NATIONAL SUPPLY ROAD,RAINBOW
NKPOGU,RAINBOW
RAINBOW,RAINBOW
ALL ESTATE,TERE-AMA
GODS FAVOUR,TERE-AMA
LIGHT ESTATE,TERE-AMA
OZUBOKO 1,TERE-AMA
OZUBOKO 2,TERE-AMA
SOMIARI,TERE-AMA
TERE-AMA,TERE-AMA
UKUKALAMA,TERE-AMA
ALAKAHIA A1 UNIPORT,ALAKAHIA GROUP
ALAKAHIA A2 UNIPORT,ALAKAHIA GROUP
EMA DOMINION UNIPORT,ALAKAHIA GROUP
ABUJA UNIPORT,ABUJA GROUP
DELTA UNIPORT,ABUJA GROUP
ODUMS UNIPORT,ABUJA GROUP
CHOBA UNIPORT,PHC-UNIPORT CHOBA
IGBOGO UNIPORT,PHC-UNIPORT CHOBA
WOKEM UNIPORT,PHC-UNIPORT CHOBA
ALUU UNIPORT,ALUU GROUP
OMOKIRI 1 UNIPORT,ALUU GROUP
OMOKIRI 2 UNIPORT,ALUU GROUP
UDSS UNIPORT,ALUU GROUP
CORPER'S FELLOWSHIP,CORPER'S FELLOWSHIP
POLICE COLLEGE,CORPER'S FELLOWSHIP
SCHOOL OF NURSING,CORPER'S FELLOWSHIP
ST JOHN,CORPER'S FELLOWSHIP
CAPTAIN ELECHI AMADI,IAUE
COLLEGE OF HEALTH TECH,IAUE
IAUE,IAUE
LAW SCHOOL,IAUE
EAGLE ISLAND,UST GROUP
OKOKWU,UST GROUP
RSU MAIN,UST GROUP
GRA,ALAKAHIA
MOUNT ZION,ALAKAHIA
ODOMANYA,ALAKAHIA
OVERCOMERS,ALAKAHIA
RUMUDIKE,ALAKAHIA
CHOBA,CHOBA
ESTATE,CHOBA
NEW LAYOUT,CHOBA
OWHIPA,CHOBA
POWER POINT,CHOBA
AKAS,RUMUEKINI
EAST/WEST,RUMUEKINI
HEALTH CENTER,RUMUEKINI
SCHOOL ROAD,RUMUEKINI
CIVIC CENTER,IGWE
IGWE,IGWE
IHUNWO,IGWE
