district_name,group_id,group_name
EFIK ALCON,3940,EFIK-RAINBOW GROUP
EFIK AMADI,3940,EFIK-RAINBOW GROUP
EFIK AZUABIE,3940,EFIK-RAINBOW GROUP
EFIK ELELENWO,3940,EFIK-RAINBOW GROUP
EFIK OKURUAMA,3940,EFIK-RAINBOW GROUP
EFIK RUMUKALAGBO,3940,EFIK-RAINBOW GROUP
EFIK RUMUOMASI,3940,EFIK-RAINBOW GROUP
EFIK TERE-AMA,3940,EFIK-RAINBOW GROUP
ABULOMA,3941,ABULOMA
FEDERAL,3941,ABULOMA
OKUJAGU,3941,ABULOMA
OKURU,3941,ABULOMA
OWUDO,3941,ABULOMA
ROYAL,3941,ABULOMA
EJUAN,3942,EJUAN
ODILI ROAD,3942,EJUAN
TRANS AMADI GARDEN,3942,EJUAN
AMADI SANDFILLED,3943,RAINBOW
LNG ROAD,3943,RAINBOW
NATIONAL SUPPLY ROAD,3943,RAINBOW
NKPOGU,3943,RAINBOW
RAINBOW,3943,RAINBOW
ALL ESTATE,3944,TERE-AMA
GODS FAVOUR,3944,TERE-AMA
LIGHT ESTATE,3944,TERE-AMA
OZUBOKO 1,3944,TERE-AMA
OZUBOKO 2,3944,TERE-AMA
SOMIARI,3944,TERE-AMA
TERE-AMA,3944,TERE-AMA
UKUKALAMA,3944,TERE-AMA
ALAKAHIA A1 UNIPORT,3945,ALAKAHIA GROUP
ALAKAHIA A2 UNIPORT,3945,ALAKAHIA GROUP
EMA DOMINION UNIPORT,3945,ALAKAHIA GROUP
ABUJA UNIPORT,3946,ABUJA GROUP
DELTA UNIPORT,3946,ABUJA GROUP
ODUMS UNIPORT,3946,ABUJA GROUP
CHOBA UNIPORT,3947,PHC-UNIPORT CHOBA
IGBOGO UNIPORT,3947,PHC-UNIPORT CHOBA
WOKEM UNIPORT,3947,PHC-UNIPORT CHOBA
ALUU UNIPORT,3948,ALUU GROUP
OMOKIRI 1 UNIPORT,3948,ALUU GROUP
OMOKIRI 2 UNIPORT,3948,ALUU GROUP
UDSS UNIPORT,3948,ALUU GROUP
CORPER'S FELLOWSHIP,3949,CORPER'S FELLOWSHIP
POLICE COLLEGE,3949,CORPER'S FELLOWSHIP
SCHOOL OF NURSING,3949,CORPER'S FELLOWSHIP
ST JOHN,3949,CORPER'S FELLOWSHIP
CAPTAIN ELECHI AMADI,3950,IAUE
COLLEGE OF HEALTH TECH,3950,IAUE
IAUE,3950,IAUE
LAW SCHOOL,3950,IAUE
EAGLE ISLAND,3951,UST GROUP
OKOKWU,3951,UST GROUP
RSU MAIN,3951,UST GROUP
GRA,3952,ALAKAHIA
MOUNT ZION,3952,ALAKAHIA
ODOMANYA,3952,ALAKAHIA
OVERCOMERS,3952,ALAKAHIA
RUMUDIKE,3952,ALAKAHIA
CHOBA,3953,CHOBA
ESTATE,3953,CHOBA
NEW LAYOUT,3953,CHOBA
OWHIPA,3953,CHOBA
POWER POINT,3953,CHOBA
AKAS,3954,RUMUEKINI
EAST/WEST,3954,RUMUEKINI
HEALTH CENTER,3954,RUMUEKINI
SCHOOL ROAD,3954,RUMUEKINI
CIVIC CENTER,3955,IGWE
IGWE,3955,IGWE
IHUNWO,3955,IGWE
NOBLE,3955,IGWE
ACHI,3956,DIOBU
OBI,3956,DIOBU
OKIJA,3956,DIOBU
OKWELLE,3956,DIOBU
SANGANA,3956,DIOBU
EFIK AGIP,3957,EFIK DIOBU
EFIK AWGU,3957,EFIK DIOBU
EFIK DIOBU,3957,EFIK DIOBU
EFIK LUMUMBER,3957,EFIK DIOBU
EFIK MILE3,3957,EFIK DIOBU
IGBO AZUABIE,3958,IGBO
IGBO ELIMGBO,3958,IGBO
IGBO HARBOUR,3958,IGBO
IGBO MILE1,3958,IGBO
IGBO MILE2,3958,IGBO
IGBO MILE3,3958,IGBO
IGBO RAINBOW,3958,IGBO
IGBO RUMUEME,3958,IGBO
IGBO RUMUOKORO,3958,IGBO
IGBO TOWN,3958,IGBO
AKOKWA,3959,MILE 1
ELECHI,3959,MILE 1
RUMUOWOJI,3959,MILE 1
SATELLITE,3959,MILE 1
VICTORY,3959,MILE 1
WATERWORKS,3959,MILE 1
GAMBIA,3960,MILE 3
MILE 3,3960,MILE 3
OWHONDA,3960,MILE 3
ABEL JUMBO,3961,REBISI
MILE 2,3961,REBISI
OBIDIANSO,3961,REBISI
TIMBER,3961,REBISI
OBAZIOLU,3962,RUMIELECHI
OSINA,3962,RUMIELECHI
RUMUELECHI,3962,RUMIELECHI
CHURCH 1,3963,RUMUESARA
CHURCH 2,3963,RUMUESARA
CHURCH 3,3963,RUMUESARA
DIVINE FAVOUR,3963,RUMUESARA
DOMINION,3964,RUMUOGUNUMA
HIGHWAY,3964,RUMUOGUNUMA
PECULIAR,3964,RUMUOGUNUMA
PROGRESS,3964,RUMUOGUNUMA
REDEMPTION,3964,RUMUOGUNUMA
RUMUOGUNOMA,3964,RUMUOGUNUMA
UNITY,3964,RUMUOGUNUMA
PIPELINE 1,3965,RUMUOSITA
PIPELINE 2,3965,RUMUOSITA
RUMUOCHORLU 1,3965,RUMUOSITA
RUMUOCHORLU 2,3965,RUMUOSITA
RUMUOJI,3965,RUMUOSITA
RUMUOSITA,3965,RUMUOSITA
ESTATE,3966,RUMUOWHA
MANAGER,3966,RUMUOWHA
RUMUOLUKWU,3966,RUMUOWHA
RUMUOWHA,3966,RUMUOWHA
RUMUWORLU,3966,RUMUOWHA
ABRIKA,3967,MGBARAJA
MGBARAJA,3967,MGBARAJA
NEW COVENANT,3967,MGBARAJA
OILWELL,3967,MGBARAJA
NEW LAYOUT,3968,OZODO
OZODO,3968,OZODO
PEACE AVENUE,3968,OZODO
EFIK ELIOPARANWO,3969,EFIK-OGBOGORO
EFIK NKPOR,3969,EFIK-OGBOGORO
EFIK OGBOGORO1,3969,EFIK-OGBOGORO
EFIK OGBOGORO2,3969,EFIK-OGBOGORO
EFIK RUMUCHI,3969,EFIK-OGBOGORO
AKPANBELEKURU (MIRACLE  ),3970,OGBOGORO
ALPHA & OMEGA,3970,OGBOGORO
ALPHA EXTENSION,3970,OGBOGORO
OGBOGORO,3970,OGBOGORO
RUGBURHEHI,3970,OGBOGORO
RUMUWOKE,3970,OGBOGORO
WATERWAY,3970,OGBOGORO
D/LINE,3971,D/LINE
OROGBUM WEST,3971,D/LINE
OROWORUKWO,3971,D/LINE
EZIMGBU EXTENSION,3972,NEW GRA
NEW GRA,3972,NEW GRA
OROCHIRI,3972,NEW GRA
OROMERUEZIMGBU,3972,NEW GRA
RABISI GARDEN,3972,NEW GRA
RUMUOKALAGBOR 1,3972,NEW GRA
RUMUOKALAGBOR 2,3972,NEW GRA
RUMUOKALAGBOR 3,3972,NEW GRA
