"THE DEEPER CHRISTIAN LIFE MINISTRY, HQ, RIVERS CENTRAL",,,,,,,,,,,,,,,
LIST OF OLD DISTRICTS AND THE NUMBER DISTRICTS UNDER THEM,,,,,,,,,,,,,,,
ABULOMA OLD GROUP,,,,,,,,,,,,,,,
EFIK-RAINBOW GROUP,,ABULOMA,,EJUAN,,RAINBOW,,TERE-AMA,,,,,,,
1,,2,,3,,4,,5,,,,,,,
1,EFIK ALCON,1,ABULOMA,1,EJUAN,1,AMADI SANDFILLED,1,ALL ESTATE,,,,,,
2,EFIK AMADI,2,FEDERAL,2,ODILI ROAD,2,LNG ROAD,2,GODS FAVOUR,,,,,,
3,EFIK AZUABIE,3,OKUJAGU,3,TRANS AMADI GARDEN,3,NATIONAL SUPPLY ROAD,3,LIGHT ESTATE,,,,,,
4,EFIK ELELENWO,4,OKURU,,,4,NKPOGU,4,OZUBOKO 1,,,,,,
5,EFIK OKURUAMA,5,OWUDO,,,5,RAINBOW,5,OZUBOKO 2,,,,,,
6,EFIK RUMUKALAGBO,6,ROYAL,,,,,6,SOMIARI,,,,,,
7,EFIK RUMUOMASI,,,,,,,7,TERE-AMA,,,,,,
8,EFIK TERE-AMA,,,,,,,8,UKUKALAMA,,,,,,
,CAMPUS OLD GROUP,,,,,,,,,,,,,,
,ALAKAHIA GROUP ,,ABUJA GROUP ,,PHC-UNIPORT CHOBA,,ALUU GROUP,,CORPER'S FELLOWSHIP,,IAUE,,ABUJA GROUP ,,
,6,,7,,8,,9,,10,,11,,12,,
1,ALAKAHIA A1 UNIPORT,1,ABUJA UNIPORT,1,CHOBA UNIPORT,1,ALUU UNIPORT,1,CORPER'S FELLOWSHIP,1,IAUE,1,RSU MAIN,,
2,ALAKAHIA A2 UNIPORT,2,DELTA UNIPORT,2,WOKEM UNIPORT,2,UDSS UNIPORT,2,SCHOOL OF NURSING,2,COLLEGE OF HEALTH TECH,2,OKOKWU,,
3,EMA DOMINION UNIPORT,3,ODUMS UNIPORT,3,IGBOGO UNIPORT,3,OMOKIRI 1 UNIPORT,3,ST JOHN,3,CAPTAIN ELECHI AMADI,3,EAGLE ISLAND,,
,,,,,,4,OMOKIRI 2 UNIPORT,4,POLICE COLLEGE,4,LAW SCHOOL,,,,
,,,,,,,,,,,,,,,
,CHOBA OLD GROUP,,,,,,,,,,,,,,
,ALAKAHIA,,CHOBA,,RUMUEKINI,,IGWE ,,,,,,,,
,13,,14,,15,,16,,,,,,,,
1, ODOMANYA,1,ESTATE,1,AKAS,1,IHUNWO,,,,,,,,
2, RUMUDIKE,2,CHOBA,2,EAST/WEST,2,CIVIC CENTER,,,,,,,,
3, MOUNT ZION,3,NEW LAYOUT,3,HEALTH CENTER,3,IGWE,,,,,,,,
4, GRA,4,POWER POINT ,4,SCHOOL ROAD,4,NOBLE,,,,,,,,
5, OVERCOMERS,5,OWHIPA,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,DIOBU OLD GROUP,,,,,,,,,,,,,,
,DIOBU,,EFIK DIOBU,,IGBO ,,MILE 1,,MILE 3,,REBISI,,RUMIELECHI,,
,17,,18,,19,,20,,21,,22,,23,,
1, ACHI,1, EFIK AGIP,1, IGBO AZUABIE,1,AKOKWA,1, MILE 3,1,ABEL JUMBO,1, OBAZIOLU,,
2,OBI,2, EFIK AWGU,2, IGBO ELIMGBO,2, ELECHI,2, OWHONDA,2, MILE 2,2, RUMUELECHI,,
3, OKIJA,3, EFIK DIOBU,3, IGBO HARBOUR,3, RUMUOWOJI,3,GAMBIA,3, OBIDIANSO,3,OSINA,,
4, OKWELLE,4, EFIK LUMUMBER,4, IGBO RUMUEME,4, VICTORY,,,4, TIMBER,,,,
5, SANGANA,5, EFIK MILE3,5, IGBO RUMUOKORO,5, SATELLITE,,,,,,,,
,,,,6, IGBO MILE1,6, WATERWORKS,,,,,,,,
,,,,7, IGBO MILE2,,,,,,,,,,
,,,,8, IGBO MILE3,,,,,,,,,,
,,,,9, IGBO RAINBOW,,,,,,,,,,
,,,,10, IGBO TOWN,,,,,,,,,,
,ENEKA OLD GROUP,,,,,,,,,,,,,,
,RUMUESARA ,,RUMUOGUNUMA,,RUMUOSITA,,RUMUOWHA,,,,,,,,
,24,,25,,26,,27,,,,,,,,
1,CHURCH 1,1,RUMUOGUNOMA,1,RUMUOSITA ,1,RUMUWORLU,,,,,,,,
2,CHURCH 2,2,REDEMPTION,2,RUMUOJI ,2,RUMUOLUKWU,,,,,,,,
3,CHURCH 3,3,HIGHWAY,3,RUMUOCHORLU 1,3,RUMUOWHA,,,,,,,,
4,DIVINE FAVOUR,4,DOMINION,4,PIPELINE 1,4,MANAGER,,,,,,,,
,,5,PROGRESS,5,PIPELINE 2 ,5,ESTATE,,,,,,,,
,,6,PECULIAR,6,RUMUOCHORLU 2,,,,,,,,,,
,,7,UNITY,,,,,,,,,,,,
,OGBOGORO OLD GROUP,,,,,,,,,,,,,,
,MGBARAJA,,OZODO,,EFIK-OGBOGORO,,OGBOGORO,,,,,,,,
,28,,29,,30,,31,,,,,,,,
1,ABRIKA   ,1,OZODO,1,EFIK ELIOPARANWO,1,OGBOGORO,,,,,,,,
2,MGBARAJA   ,2,NEW LAYOUT,2,EFIK NKPOR,2,ALPHA & OMEGA,,,,,,,,
3,NEW COVENANT   ,3,PEACEÊAVENUE,3,EFIK OGBOGORO1,3,ALPHA EXTENSION,,,,,,,,
4,OILWELLÊ,,,4,EFIK OGBOGORO2,4,RUGBURHEHI,,,,,,,,
,,,,5,EFIKÊRUMUCHI,5,WATERWAY,,,,,,,,
,,,,,,6,AKPANBELEKURU (MIRACLE  ),,,,,,,,
,,,,,,7,RUMUWOKE,,,,,,,,
,OGBUM-NU-ABALI OLD GROUP,,,,,,,,,,,,,,
,D/LINE,,NEW GRA,,OGBUM-NU-ABALI,,OLD GRA ,,,,,,,,
,32,,33,,34,,35,,,,,,,,
1,D/LINE,1,OROMERUEZIMGBU,1,OGBUGA,1,OLD GRA   1,,,,,,,,
2,OROGBUM WEST,2,OROCHIRI  ,2,OGBONDA,2,OLD GRA   2,,,,,,,,
3,OROWORUKWO ,3,RABISI GARDEN  ,3,EDE,3,GADA,,,,,,,,
,,4,EZIMGBU EXTENSION  ,4,CIVIC CENTRE,4,OROIJE,,,,,,,,
,,5,RUMUOKALAGBOR 3  ,5,OGBUM,5,EXTENSION,,,,,,,,
,,6,NEW GRA  ,,,,,,,,,,,,
,,7,RUMUOKALAGBOR 2  ,,,,,,,,,,,,
,,8,RUMUOKALAGBOR 1  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,OLANADA OLD GROUP,,,,,,,,,,,,,,
,EVORLU,,IKWERRE-OBIO,,IKWERRE-REBISI,,OHIO ADA,,OKANIA,,OLANADA,,RUMUOKWUTA,,RUMUOLA
,36,,37,,38,,39,,40,,41,,42,,43
1,EVORLU,1,IKWERRE OZUOBA,1,IKWERRE DIOBU,1,OHIADA,1,OKANIA,1,LOCATION,1,KALA,1,RUMUOLA
2,NOBLE,2,IKWERRE ELIOZU,2,IKWERRE OGBUM NU ABALI,2,SALVATION,2,NEW ROAD,2,ORAZI,2,OKILTON,2,RUMUADALU
3,BREAD OF LIFE,3,IKWERRE ORIOGWE,3,IKWERRE OLUMENI,,,3,FARM ROAD,3,ESTATE,3,OWABIE,,
4,RUMUOKE,4,IKWERRE RUMUOKORO,4,IKWERRE OMASI,,,,,4,EKENENWO,4,RUMUOKWUTA,,
,,5,IKWERRE RUKPOKWU,5,IKWERRE OLANADA,,,,,,,,,,
,,6,IKWERRE ELELENWO,6,IKWERRE ELEKAHIA,,,,,,,,,,
,OROIGWE OLD GROUP,,,,,,,,,,,,,,
,ATALI,,ELIMGBU ,,ELIOZU,,OROIGWE,,RUMUDURU,,,,,,
,44,,45,,46,,47,,48,,,,,,
1, ATALI,1, ELIMGBU 1,1, REDEMPTION,1,DOMINION DISTRICT,, ALL SAINTS,,,,,,
2, ELIMGBU 2,2, PABOD,2, ELIOZU,2, ELIOWHANI DISTRICT,, NEW HAVEN,,,,,,
3, MINI CHINDA,3, PABOD EXTENSION,3, NEW LAYOUT,3, GATEWAY 1,, ESTATE,,,,,,
4, STATION,4, RUMUWHARA NEW LAYOUT,4, DIVINE,4,TRIUMPHANT,, WATCHMAN,,,,,,
5, STREAM VIEW,5, PRIME,5, FAITH,5, NEW DAWN,,,,,,,,
6, FARM ESTATE,6, VALLEY VIEW,,,6, NEW LIFE,,,,,,,,
,,,,,,7, OWHANI,,,,,,,,
,,,,,,8, RUMUEWHARA,,,,,,,,
,,,,,,,,,,,,,,,
,OZUOBA OLD GROUP,,,,,,,,,,,,,,
,DEEPER LIFE HIGH SCHOOL,,OZUOBA,,ALIMINI,,RUMUOKPARALI,,,,,,,,
,49,,50,,51,,52,,,,,,,,
1,JUNIOR SCHOOL   ,1,CENTRAL,1, AIT  ,1,RUMUOKPARALI,,,,,,,,
2,SENIOR SCHOOL   ,2,GOJEHOTA,2, DAYSPING  ,2,VICTORY,,,,,,,,
3,ADULT  ,3,KORO,3,ORIEBE  ,3,ABUJA,,,,,,,,
,,4,NEW ROAD,4,POWERLINE 1  ,4,BREAD OF LIFE,,,,,,,,
,,5,ODOMENE,5,POWERLINE 2   ,5,CANNA,,,,,,,,
,,6,OZUOBA,6,RUMUOKANIÊ,6,RUMUALOGU,,,,,,,,
,,7,IGBOGO,,,7,PHAREZ,,,,,,,,
,PIPE-LINE  OLD GROUP,,,,,,,,,,,,,,
,NEW LAYOUT,,PALMVIEW,,PIPE-LINE ,,,,,,,,,,
,53,,54,,55,,,,,,,,,,
1,NEW JERUSALEM,1,PALM VIEW,1,PIPELINE 1,,,,,,,,,,
2,NEW LAYOUT,2,SALVATION GATE,2,PIPELINE2,,,,,,,,,,
3,DECISION ESTATE,3,FREEDOM ESTATE    ,3,WHITE HOUSE,,,,,,,,,,
4,ELEME JUNCTION,4, HEAVENLY HIGHWAY,4,WUTCHE,,,,,,,,,,
5,RUMUCHIORLU,5,POWER LOCATION,5,EBENEZER,,,,,,,,,,
,RUKPOKWU OLD GROUP,,,,,,,,,,,,,,
,ELIKPOKWU-ODU ,,RUKPOKWU,,RUMUAPU,,WHITE HOUSE,,,,,,,,
